Column1,brand,product_details,check,price_global_house,price_dohome,cheapest_store
0,ซัันไลต์,ซัันไลต์ น้ำยาล้างจาน เลมอนเทอร์โบ ขนาด 3600 มล.,ซันไลต์ เลมอน เทอร์โบ น้ำยาล้างจาน 3200 มล.,169,184,GLOBAL HOUSE
1,ซันไลต์,ซันไลต์ น้ำยาล้างจาน เลมอนเทอร์โบ แบบเติม ขนาด 300 มล. (แพ็ค 3 ถุง),ซันไลต์ เลมอน น้ำยาล้างจาน แบบถุง 500 มล. (แพค 3 หน่วย),52,94,GLOBAL HOUSE
2,ซันไลต์,ซันไลต์ น้ำยาล้างจาน แบบเติม ขนาด 500 มล. (แพ็ค 3 ถุง),ซันไลต์ เลมอน น้ำยาล้างจาน แบบถุง 500 มล. (แพค 3 หน่วย),78,94,GLOBAL HOUSE
3,ซันไลต์,ซันไลต์ น้ำยาล้างจาน เลมอนเทอร์โบ แบบหัวปั้ม ขนาด 485 มล.,ซันไลต์ เลมอน เทอร์โบ น้ำยาล้างจาน 485 มล.,35,35,GLOBAL HOUSE
4,ซันไลต์,ซันไลต์ น้ำยาล้างจาน เลมอนเทอร์โบ แบบหัวปั้ม ขนาด 750 มล.,ซันไลต์ เลมอน น้ำยาล้างจาน แบบถุง 500 มล. (แพค 3 หน่วย),64,94,GLOBAL HOUSE
5,3M,3M น้ำยาล้างจาน สูตรมะนาวเข้มข้น แบบถุง ขนาด 550 มล.,3M น้ำยาล้างจาน 550 มล. กลิ่นมะนาว,27,33,GLOBAL HOUSE
6,ซันไลต์,ซันไลต์ น้ำยาล้างจาน พลัส เนเจอร์ แบบหัวปั้ม ขนาด 750 มล.,ซันไลต์ น้ำยาล้างจาน แบบหัวปั๊ม 750 มล. กลิ่นเลมอน,64,64,GLOBAL HOUSE
8,3M,3M น้ำยาล้างจาน สูตรมะนาวเข้มข้น ขนาด 3800 มล.,3M น้ำยาล้างจาน กลิ่นมะนาว 3.8 ลิตร,199,193,DOHOME
9,ซันไลต์,ซันไลต์ น้ำยาล้างจาน แพลตินั่ม ไอริส ขจัดครบหนัก แบบหัวปั้ม ขนาด 750 มล.,ซันไลต์ น้ำยาล้างจาน แบบหัวปั๊ม 750 มล. กลิ่นเลมอน,69,64,DOHOME
10,ซันไลต์,ซันไลต์ น้ำยาล้างจาน แพลตินั่ม ออเร้นจ์ ขจัดครบหนัก แบบหัวปั้ม ขนาด 750 มล.,ซันไลต์ น้ำยาล้างจาน แบบหัวปั๊ม 750 มล. กลิ่นเลมอน,69,64,DOHOME
12,ซันไลต์,ซันไลต์ น้ำยาล้างจาน ซันไลต์พลัส แบบหัวปั้ม ขนาด 750 มล.,ซันไลต์ น้ำยาล้างจาน แบบหัวปั๊ม 750 มล. กลิ่นเลมอน,64,64,GLOBAL HOUSE
16,VIXOL วิกซอล พลัส,VIXOL วิกซอล พลัส น้ำยาล้างห้องน้ำ 900 มล.,VIXOL ไลท์ พลัส น้ำยาล้างห้องน้ำ 3500 มล. สีม่วง,39,169,DOHOME
17,VIXOL วิกซอล,VIXOL วิกซอล น้ำยาล้างห้องน้ำ 900 มล. ชมพู แพ็ค 2+1,VIXOL Oxy น้ำยาล้างห้องน้ำ 700 มล. สีชมพู,99,55,DOHOME
18,VIXOL วิกซอล,VIXOL วิกซอล น้ำยาล้างห้องน้ำและ ขจัดคราบทั่วไป ขนาด 900 มล. สีชมพู,VIXOL น้ำยาล้างห้องน้ำ ไลท์ พลัส 900 มล. สีม่วง,39,47,GLOBAL HOUSE
19,FARCENT,FARCENT น้ำยาล้างห้องน้ำ ฟาร์เซ้นท์ ขนาด 900 มล. (2แถม1/แพ็ค),FARCENT น้ำยาล้างห้องน้ำ รุ่น JS-3011 (แพ็ค 3),101,124,GLOBAL HOUSE
20,VIXOL วิกซอล เฮฟวี่ ดิวตี้,VIXOL วิกซอล เฮฟวี่ ดิวตี้ น้ำยาล้างห้องน้ำ ขนาด 900 มล. สีขาว,VIXOL ไลท์ พลัส น้ำยาล้างห้องน้ำ 3500 มล. สีม่วง,39,169,DOHOME
21,3M,3M น้ำยาล้างห้องน้ำสูตรขจัดคราบหนัก ขนาด 900 มล.,3M น้ำยาล้างห้องน้ำ กลิ่นพฤกษา 3.8 ลิตร,59,215,DOHOME
22,FARCENT,FARCENT น้ำยาล้างห้องน้ำ ฟาร์เซ็นท์บาธรูม ขนาด 3500 มล.,FARCENT น้ำยาล้างห้องน้ำ รุ่น JS-3102 ขนาด 3500 มล.,148,157,GLOBAL HOUSE
23,DUCK เป็ดหอม,DUCK เป็ดหอม น้ำยาล้างห้องน้ำ กลิ่น ลาเวนเดอร์ 900 มล.,DUCK น้ำยาล้างห้องน้ำ กลิ่นลาเวนเดอร์ 900 มล.,54,74,GLOBAL HOUSE
24,VIXOL วิกซอล พลัส,VIXOL วิกซอล พลัส น้ำยาล้างห้องน้ำ 3500 มล.,VIXOL ไลท์ พลัส น้ำยาล้างห้องน้ำ 3500 มล. สีม่วง,155,169,GLOBAL HOUSE
25,SPACLEAN,SPACLEAN น้ำยาล้างห้องน้ำ ขนาด 1000 มล.,FARCENT น้ำยาล้างห้องน้ำ รุ่น JS-3102 ขนาด 3500 มล.,169,157,DOHOME
26,DUCK เป็ดหอม,DUCK เป็ดหอม น้ำยาล้างห้องน้ำ กลั่น ซิตรัส ขนาด 900 มล.,DUCK น้ำยาล้างห้องน้ำ กลิ่นซิตรัส 900 มล.,54,74,GLOBAL HOUSE
27,VIXOL วิกซอล,VIXOL วิกซอล น้ำยาล้างห้องน้ำและ ขจัดคราบทั่วไป ขนาด 3500 มล. สีชมพู,VIXOL ไลท์ พลัส น้ำยาล้างห้องน้ำ 3500 มล. สีม่วง,155,169,GLOBAL HOUSE
29,VIXOL วิกซอล เฮฟวี่ ดิวตี้,VIXOL วิกซอล เฮฟวี่ ดิวตี้ น้ำยาล้างห้องน้ำ ขนาด 3500 มล. สีขาว,VIXOL ไลท์ พลัส น้ำยาล้างห้องน้ำ 3500 มล. สีม่วง,155,169,GLOBAL HOUSE
32,VIM,VIM น้ำยาล้างห้องน้ำ วิม ขนาด 3500 มล. สีเขียว,VIXOL น้ำยาล้างห้องน้ำ ไลท์ พลัส 900 มล. สีม่วง,145,47,GLOBAL HOUSE
33,DUCK เป็ดหอม,DUCK เป็ดหอม น้ำยาล้างห้องน้ำ กลิ่น ลาเวนเดอร์ 3500 มล.,DUCK น้ำยาล้างห้องน้ำ กลิ่นลาเวนเดอร์ 3500 มล.,209,266,GLOBAL HOUSE
34,DUCK เป็ดหอม,DUCK เป็ดหอม น้ำยาล้างห้องน้ำ กลั่น ซิตรัส ขนาด 3500 มล.,DUCK น้ำยาล้างห้องน้ำ กลิ่นซิตรัส 3500 มล.,209,258,GLOBAL HOUSE
35,OMO ผงซักฟอกสูตรมาตรฐาน โอโมซันชายน์ ขนาด 1700 กรัม,OMO ผงซักฟอกสูตรมาตรฐาน โอโมซันชายน์ ขนาด 1700 กรัม,โอโม ซันชายน์ ผงซักฟอก 1900 กรัม,95,99,GLOBAL HOUSE
